TimeFrom,TimeTo,Speaker,Gap between speakers
212.41,212.64,1,0.84
212.64,212.92,1,0.84
212.92,213.29,1,0.84
213.29,213.73,1,0.84
213.88,214.07,1,0.84
214.45,214.76,1,0.84
214.76,215.09,1,0.84
215.09,215.23,1,0.84
215.23,215.8,1,0.84
215.8,216.3,1,0.84
216.83,217.27,1,0.84
217.73,218.22,1,0.84
218.22,218.5,1,0.84
218.58,218.76,1,0.84
218.81,219.07,1,0.84
219.65,219.99,1,0.84
222.45,222.61,1,0.84
222.61,223.01,1,0.84
223.37,223.73,1,0.84
223.73,223.87,1,0.84
223.87,224.29,1,0.84
224.29,224.34,1,0.84
224.34,224.85,1,0.84
225.48,225.83,0,0.63
225.83,225.98,0,0.63
225.98,226.32,0,0.63
226.32,226.66,0,0.63
226.66,226.79,0,0.63
226.79,227.11,0,0.63
227.11,227.23,0,0.63
227.23,227.35,0,0.63
227.35,227.8,0,0.63
227.83,228.11,0,0.63
228.11,228.55,0,0.63
228.55,228.69,0,0.63
228.69,228.77,0,0.63
228.77,229.17,0,0.63
229.2,229.43,1,0.03
229.43,229.68,1,0.03
229.88,230.74,0,0.2
231.2,232.18,0,0.2
232.21,233.21,0,0.2
234.33,234.67,0,0.2
234.67,234.82,0,0.2
234.82,235.07,0,0.2
235.07,235.42,0,0.2
235.42,235.95,0,0.2
235.98,236.17,0,0.2
236.17,236.32,0,0.2
236.32,236.48,0,0.2
236.48,237.05,0,0.2
237.05,237.42,0,0.2
237.45,237.75,0,0.2
237.81,237.87,0,0.2
237.87,238.36,0,0.2
239.11,239.46,0,0.2
239.81,240.44,0,0.2
240.44,241.1,0,0.2
241.1,241.37,0,0.2
241.37,241.51,0,0.2
241.51,242.14,0,0.2
242.14,242.95,0,0.2
244.21,244.69,0,0.2
245.8,246.01,0,0.2
246.01,246.24,0,0.2
246.24,246.42,0,0.2
246.42,246.58,0,0.2
246.58,246.68,0,0.2
246.68,246.84,0,0.2
246.84,246.97,0,0.2
246.97,247.63,0,0.2
247.82,248.01,0,0.2
248.01,248.68,0,0.2
249.89,250.3,0,0.2
251,251.15,0,0.2
251.15,251.45,0,0.2
251.45,251.86,0,0.2
251.86,252.87,0,0.2
252.87,253.4,0,0.2
253.76,254.03,1,0.36
254.99,255.29,0,0.96
255.29,255.47,0,0.96
255.47,255.85,0,0.96
255.85,256.01,0,0.96
256.01,256.11,0,0.96
256.11,256.27,0,0.96
256.27,256.38,0,0.96
256.38,256.78,0,0.96
256.78,257.03,0,0.96
257.03,257.38,0,0.96
257.94,258.19,1,0.56
258.19,258.33,1,0.56
258.33,258.46,1,0.56
258.46,258.63,1,0.56
258.63,259,1,0.56
259,259.45,1,0.56
259.57,259.84,1,0.56
259.84,260.04,1,0.56
261.66,261.8,0,1.62
261.8,261.96,0,1.62
261.96,262.08,0,1.62
262.08,262.28,0,1.62
262.28,262.39,0,1.62
262.39,262.54,0,1.62
262.54,262.71,0,1.62
262.71,262.86,0,1.62
262.86,263.1,0,1.62
263.1,263.42,0,1.62
264.53,264.74,0,1.62
264.74,264.82,0,1.62
264.82,265.02,0,1.62
265.02,265.38,0,1.62
265.38,266.19,0,1.62
267.19,267.58,1,1
267.58,267.69,1,1
267.69,268.03,1,1
268.03,268.13,1,1
268.13,268.52,1,1
268.52,268.79,1,1
268.79,269.14,1,1
269.14,269.34,1,1
269.34,269.57,1,1
269.57,269.76,1,1
269.76,270.19,1,1
272.8,273,0,2.61
273,273.16,0,2.61
273.16,273.32,0,2.61
273.32,273.79,0,2.61
273.79,273.94,0,2.61
274.78,274.96,1,0.84
274.99,275.15,0,0.03
275.15,275.21,0,0.03
275.21,275.52,0,0.03
275.52,275.64,0,0.03
275.64,275.79,0,0.03
275.79,276.28,0,0.03
278.22,278.36,0,0.03
278.36,278.5,0,0.03
278.5,278.75,0,0.03
278.75,279.19,0,0.03
279.19,279.49,0,0.03
279.49,279.71,0,0.03
